Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Global average (Green),Global average (Blue),Global average (Grey),Total Global average
230620,"Linseed oil-cake&other solid residues,whether or not ground or pellet",,120400,0.63,0.38,2816.0,160.0,101.0,3077.0
12079ag,Hempseed,Hempseed,12079ag,1.00,1.00,3257.0,12.0,417.0,3686.0
12079ak,"Oilseeds, Nes","Oilseeds, Nes",12079ak,1.00,1.00,3230.0,131.0,61.0,3422.0
120792,"Shea nuts (karite nuts), whether or not broken",,120792,1.00,1.00,3230.0,131.0,61.0,3422.0
120799,"Oil seeds and oleaginous fruits, nes, whether or not broken",,120799,1.00,1.00,3230.0,131.0,61.0,3422.0
120890,"Flours and meals of oil seeds or oleaginous fruits,except mustard,nes",,120799,0.80,1.00,4037.0,163.0,76.0,4276.0
151560,"Jojoba oil&its fractions whether/not refind,but not chemically modifid",,151560,1.00,1.00,3230.0,131.0,61.0,3422.0
070490,"Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled",Cabbages and other brassicas,070490,1.00,1.00,181.0,26.0,73.0,280.0
070910,"Globe artichokes, fresh or chilled",Artichokes,070910,1.00,1.00,478.0,242.0,98.0,818.0
070920,"Asparagus, fresh or chilled",Asparagus,070920,1.00,1.00,1524.0,119.0,507.0,2150.0
070511,Cabbage lettuce (head lettuce) fresh or chilled,Lettuce and chicory,070511,1.00,1.00,133.0,28.0,77.0,238.0
070519,"Lettuce, fresh or chilled nes",,070511,1.00,1.00,133.0,28.0,77.0,238.0
070970,"Spinach,N-Z spinach & orache spinach (garden spinach),fresh or chilled",Spinach,070970,1.00,1.00,118.0,14.0,160.0,292.0
071030,"Spinach, N-Z spinach and orache spinach (garden spinach), frozen",,070970,0.35,1.00,338.0,39.0,457.0,834.0
070200,"Tomatoes, fresh or chilled",Tomatoes,070200,1.00,1.00,108.0,63.0,43.0,214.0
070200a,"Tomato juice, concentrated",,070200,0.20,1.00,539.0,316.0,213.0,1068.0
070200b,Tomato paste,,070200,0.25,1.00,431.0,253.0,171.0,855.0
070200c,Tomato ketchup,,070200,0.40,1.00,270.0,158.0,107.0,535.0
070200d,Tomato puree,,070200,0.30,1.00,360.0,211.0,142.0,713.0
070200e,Peeled tomatoes,,070200,0.80,1.00,135.0,79.0,53.0,267.0
070200f,"Tomato, dried",,070200,0.05,1.00,2157.0,1265.0,853.0,4275.0
200950,"Tomato juice unfermented&not spirited,whether or not sugared or sweet",,070200,0.80,1.00,135.0,79.0,53.0,267.0
070410,"Cauliflowers and headed broccoli, fresh or chilled",Cauliflowers and broccoli,070410,1.00,1.00,189.0,21.0,75.0,285.0
070420,"Brussels sprouts, fresh or chilled",,070420,1.00,1.00,189.0,21.0,75.0,285.0
070990_b,"Pumpkins, squash and gourds","Pumpkins, squash and gourds",070990_b,1.00,1.00,228.0,24.0,84.0,336.0
070700,"Cucumbers and gherkins, fresh or chilled",Cucumbers and gherkins,070700,1.00,1.00,206.0,42.0,105.0,353.0
071140,"Cucumbers&gherkins provisionally presvd,but nt f immediate consumption",,070700,1.00,1.00,206.0,42.0,105.0,353.0
070930,"Aubergines(egg-plants), fresh or chilled",Eggplants (aubergines),070930,1.00,1.00,234.0,33.0,95.0,362.0
070960,"Peppers of the genus Capsicum or of the genus Pimenta,fresh or chilled","Chillies and peppers, green",070960,1.00,1.00,240.0,42.0,97.0,379.0
070310,"Onions and shallots, fresh or chilled","Onions (inc. shallots), green",070310,1.00,1.00,176.0,44.0,51.0,271.0
071110,"Onions,provisionally preservd but nt suitable f immediate consumption",,071220,1.00,1.00,192.0,88.0,65.0,345.0
071220,Onions dried but not further prepared,"Onions, dry",071220,1.00,1.00,192.0,88.0,65.0,345.0
070320,"Garlic, fresh or chilled",Garlic,070320,1.00,1.00,337.0,81.0,170.0,588.0
070320a,Garlic powder,,070320,0.26,1.00,1297.0,313.0,655.0,2265.0
070820,"Beans, shelled or unshelled, fresh or chilled","Beans, green",070820,1.00,1.00,320.0,54.0,188.0,562.0
071022,"Beans, frozen",,070820,0.70,1.00,456.0,76.0,269.0,801.0
070810,"Peas, shelled or unshelled, fresh or chilled","Peas, green",070810,1.00,1.00,382.0,63.0,150.0,595.0
071021,"Peas, frozen",,070810,0.70,1.00,546.0,89.0,215.0,850.0
070820_b,String beans,String beans,070820_b,1.00,1.00,301.0,104.0,143.0,548.0
070610,"Carrots and turnips, fresh or chilled",Carrots and turnips,070610,1.00,1.00,106.0,28.0,61.0,195.0
070940,"Celery, other than celeriac, fresh or chilled",,070940,1.00,1.00,106.0,28.0,61.0,195.0
070990cb,Okra,Okra,070990cb,1.00,1.00,474.0,36.0,65.0,575.0
070990ca,"Maize, green","Maize, green",070990ca,1.00,1.00,455.0,157.0,88.0,700.0
071040,"Sweet corn, frozen",,070990ca,1.00,1.00,455.0,157.0,88.0,700.0
121210,Carobs,Carobs,121210,1.00,1.00,4557.0,334.0,703.0,5594.0
070990,"Vegetables, fresh or chilled nes",Vegetables fresh nes,070990,1.00,1.00,205.0,33.0,101.0,339.0
071080,"Vegetables, frozen nes",,070990,0.70,1.00,292.0,47.0,144.0,483.0
071090,"Mixtures of vegetables, frozen",,070990,1.00,1.00,205.0,33.0,101.0,339.0
071190,Vegetables nes&mixtures provis presvd but nt f immediate consumptn,,070990,1.00,1.00,205.0,33.0,101.0,339.0
071290,"Vegetables and mixtures dried, but not further prepared nes",,070990,0.35,1.00,584.0,94.0,288.0,966.0
121299,Vegetable products nes used primarily for human consumption,,070990,1.00,1.00,205.0,33.0,101.0,339.0
080300,"Bananas including plantains, fresh or dried",,080300,1.00,1.00,660.0,97.0,33.0,790.0
080300aa,Bananas,Bananas,080300aa,1.00,1.00,660.0,97.0,33.0,790.0
080300_b,Plantains,Plantains,080300_b,1.00,1.00,1570.0,27.0,6.0,1603.0
080510,"Oranges, fresh or dried",Oranges,080510,1.00,1.00,401.0,110.0,49.0,560.0
200911,"Orange juice,unfermentd&not spiritd,whether/not sugard/sweet,frozen",,080510,0.55,1.00,729.0,199.0,90.0,1018.0
