Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Province/ state >>>,Global average
,,,,,,Grey,336
151410,"Rape, colza or mustard oil crude",,120500,0.38,0.71,Green,3162
,,,,,,Blue,429
,,,,,,Grey,624
151490,"Rape,colza o mustard oil&their fract,refind but not chemically modifid",,151410,0.98,1.00,Green,3226
,,,,,,Blue,438
,,,,,,Grey,636
230640,"Rape/colza sed oil-cake&oth solid residues,whether/not ground/pellet",,120500,0.60,0.29,Green,837
,,,,,,Blue,114
,,,,,,Grey,165
120760,"Safflower seeds, whether or not broken",Safflower seed,120760,1.00,1.00,Green,6000
,,,,,,Blue,938
,,,,,,Grey,283
120740,"Sesamum seeds, whether or not broken",Sesame seed,120740,1.00,1.00,Green,8460
,,,,,,Blue,509
,,,,,,Grey,403
151550,"Sesame oil&its fractions whether/not refind,but not chemically modifid",,120740,0.43,1.00,Green,19674
,,,,,,Blue,1183
,,,,,,Grey,936
120750,"Mustard seeds, whether or not broken",Mustard seed,120750,1.00,1.00,Green,2463
,,,,,,Blue,1
,,,,,,Grey,345
120791,"Poppy seeds, whether or not broken",Poppy seed,120791,1.00,1.00,Green,1723
,,,,,,Blue,
,,,,,,Grey,464
12079ab,Melonseed,Melonseed,12079ab,1.00,1.00,Green,5087
,,,,,,Blue,56
,,,,,,Grey,41
120720a,Seed cotton,Seed cotton,120720a,1.00,1.00,Green,2282
,,,,,,Blue,1306
,,,,,,Grey,440
120720,"Cotton seeds, whether or not broken",,120720a,0.63,0.21,Green,755
,,,,,,Blue,432
,,,,,,Grey,146
120720b,Cotton lint,,120720a,0.35,0.79,Green,5163
,,,,,,Blue,2955
,,,,,,Grey,996
140420,Cotton linters,,120720,0.10,0.20,Green,1474
,,,,,,Blue,844
,,,,,,Grey,284
151221,"Cotton-seed oil crude, whether or not gossypol has been removed",,120720,0.16,0.48,Green,2242
,,,,,,Blue,1283
,,,,,,Grey,432
151229,Cotton-seed and its fractions refined but not chemically modified,,151221,1.00,1.00,Green,2242
,,,,,,Blue,1283
,,,,,,Grey,432
230610,"Cotton sed oil-cake&oth solid residues,whether or not ground or pellet",,120720,0.51,0.33,Green,487
,,,,,,Blue,279
,,,,,,Grey,94
520100,"Cotton, not carded or combed",,120720b,1.00,1.00,Green,5163
,,,,,,Blue,2955
,,,,,,Grey,996
520210,Cotton yarn waste (including thread waste),,520100,0.05,0.01,Green,950
,,,,,,Blue,544
,,,,,,Grey,183
520291,Garnetted stock of cotton,,520100,0.05,0.01,Green,1426
,,,,,,Blue,816
,,,,,,Grey,275
520299,"Cotton waste, nes",,520291,0.85,1.00,Green,1677
,,,,,,Blue,960
,,,,,,Grey,323
520300,"Cotton, carded or combed",,520100,0.95,0.99,Green,5359
,,,,,,Blue,3067
,,,,,,Grey,1034
520511,Cotton fabric and finished textiles,,520100,0.95,0.99,Green,5384
,,,,,,Blue,3253
,,,,,,Grey,1344
120400,"Linseed, whether or not broken",Linseed,120400,1.00,1.00,Green,4730
,,,,,,Blue,268
,,,,,,Grey,170
151511,"Linseed oil, crude",,120400,0.35,0.62,Green,8445
,,,,,,Blue,478
,,,,,,Grey,303
151519,"Linseed oil and its fractions, refined but not chemically modified",,151511,0.98,1.00,Green,8618
,,,,,,Blue,488
,,,,,,Grey,310
230620,"Linseed oil-cake&other solid residues,whether or not ground or pellet",,120400,0.63,0.38,Green,2816
,,,,,,Blue,160
,,,,,,Grey,101
12079ag,Hempseed,Hempseed,12079ag,1.00,1.00,Green,3257
,,,,,,Blue,12
,,,,,,Grey,417
12079ak,"Oilseeds, Nes","Oilseeds, Nes",12079ak,1.00,1.00,Green,3230
,,,,,,Blue,131
,,,,,,Grey,61
120792,"Shea nuts (karite nuts), whether or not broken",,120792,1.00,1.00,Green,3230
,,,,,,Blue,131
,,,,,,Grey,61
120799,"Oil seeds and oleaginous fruits, nes, whether or not broken",,120799,1.00,1.00,Green,3230
,,,,,,Blue,131
,,,,,,Grey,61
120890,"Flours and meals of oil seeds or oleaginous fruits,except mustard,nes",,120799,0.80,1.00,Green,4037
,,,,,,Blue,163
,,,,,,Grey,76
151560,"Jojoba oil&its fractions whether/not refind,but not chemically modifid",,151560,1.00,1.00,Green,3230
,,,,,,Blue,131
,,,,,,Grey,61
070490,"Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled",Cabbages and other brassicas,070490,1.00,1.00,Green,181
,,,,,,Blue,26
,,,,,,Grey,73
070910,"Globe artichokes, fresh or chilled",Artichokes,070910,1.00,1.00,Green,478
,,,,,,Blue,242
,,,,,,Grey,98
070920,"Asparagus, fresh or chilled",Asparagus,070920,1.00,1.00,Green,1524
,,,,,,Blue,119
,,,,,,Grey,507
070511,Cabbage lettuce (head lettuce) fresh or chilled,Lettuce and chicory,070511,1.00,1.00,Green,133
,,,,,,Blue,28
,,,,,,Grey,77
